Swahilitext,Sentiments
actpdf sheria iliyoruhusu kuanzishwa taasisi elimu juu kibinafsi,Negative
basi mungu alimfufua yesu sisi sote mashahidi wa tukio hilo,Positive
herode aliwaita faraghani hao wataalamu wa nyota akawauliza hasa ile nyota ilipowatokea,Positive
aace iliendelea kazi uanzilishi mwaka wa ilitoa mpango wa kwanza jumuishi wa sitakabadhi programu usimamizi wa miradi mkakati wa udhibiti wa gharama jumuisho,Positive
a albamu hii emotions imefanikiwa kuuza nakala,Positive
aarti anaapa kulipiza kisasi kupitia mtoto wake aliyetumboni,Negative
a barabara kimkoa huwa herufi b,Positive
a b c d utathmini wake rahisi kuliko kuuliza kwenye uchaguzi ujao unapanga kufanya nini,Negative
abdallah jumbe alizipenyeza kadi tanu kuzipeleka kwenye wilaya hiyo siri akaanza kuandikisha watu,Negative
abdulla alikuwa mhariri mwaandishi wa vitabu tofauti ambavyo viliinyanyua lugha kiswahili daraja la juu kuiongezea umaarufu mkubwa eneo la afrika mashariki,Positive
abdullah bin alhusayn alianzisha hapa mji mkuu wake,Positive
abebe alishinda mbio hizo alikimbia miguu mitupu,Positive
abela anafanya kazi miradi mbalimbali kupitia shirika lake,Positive
aberdares iko sehemu vyanzo vya maji mabwawa sasumua ndakaini ambazo hutoa maji wakazi wa mji mkuu wa kenya nairobi,Positive
aberdares ina mimea mbalimbali tajiri,Positive
abeti alikuwa fundi wa muziki akiwa umri mdogo sana ambao hakuna aliyetegemea hasa jinsia,Positive
abimeleki alivyochorwa guillaume rouill promptuarii iconum insigniorum,Positive
abiria wote walikaguliwa kupimwa damu kuangalia uwepo wa dvt,Positive
aboutcom watu wanaweza kukumbuka ndoto zao wakiamshwa wa usingizi wa macho kugeukageuka,Positive
above the rim the soundtrack kibwagizo rasmi ajili filamu iliyotoka yenye jina sawa kibwagizo,Positive
abraham alikwenda severus ibn almuqaffa,Positive
abraham gesner aligundua kwamba aliweza kutengeneza mafuta taa mafuta hayo,Negative
abraham maslow aliorodhesha haja binadamu akisema inafaa atimize kwanza zile msingi maji chakula nk,Negative
abrahams alifanya kazi karani kampuni babake kuanzia mwaka wa hadi,Positive
abubakar shekau ametumia vurungu sana kuhamasisha hofu kueneza ujumbe wa kikundi chake,Negative
abuja ikatangazwa rasmi mji mkuu wa nigeria tarehe desemba,Positive
abunuasi akachukuwa mbuzi wake mbele kidogo akaona kile kiatu cha mguu wa pili,Negative
abunuwas alishangaa akaona bora angelikichukua kile cha mwanzo sababu cha pili kimepatikana,Negative
abushiri bin salim aliyeanzisha vita dhidi wajerumani mwaka alikuwa mmoja wajasiriamali waarabu wa eneo la pangani,Positive
acacia nilotica mmea wa supu unaotumika nyingi,Positive
acasma inasimamia shirika isiyo kiserikali lililoundwa accra academy shule upili st marys junior,Positive
accesskenya iko makao makuu jengo la museum hill centre karibu jumba la kumbukumbu la nairobi kando barabara museum mji wa nairobi,Positive
accra academy imetoa maarufu wengi,Positive
acs inayohusiana kokenilazima isimamiwe njia sawa wagonjwa wengine wenye ugonjwa hatari wa moyo ila tu vizuizi vya beta havipaswi kutumiwa benzodiazepini ipeanwe mapema,Negative
adam greenfield ndiye aliyeanzisha matumizi neno blogu mkononi,Negative
adamiecki hakuchapisha chati hadi kisha tu lugha kipolishi,Positive
adamu hawa walizaa watoto wengi wa kiume wa kike taz sababu sehemu wajibu wao ilikuwa kusaidia kujaza dunia taz,Positive
adan alihitimu elimu sekondari kwenye mwaka pale kabaa high school,Positive
aden hashi farah ayro alipata msaada mtaji mawazo mengi vikundi vya kimataifa al qaeda alshabaab imepata mafanikio haraka sana,Positive
adhabu alizozitoa mwanzilishi zikaja kuongezwa chini elia kuratibiwa sheria,Negative
adhabu kosa hili ilikuwa kunyongwa,Negative
adili alikubali mikono miwili jambo hili hiyo ilikuwa katikati mwa mwaka,Negative
adiparva inajumuisha kafara nyoka sarpasattra janamejaya ikieleza msukumo wake kueleza undani mbona nyoka wote ambao hai walifaa kuharibiwa nini licha hayo bado kuna nyoka hadi wa,Negative
ad pusalker history and culture of the indian people vol i chapter xiv p hili linaweza kuashiria vipindi virefu uongozini wastani vya wafalme wanaotajwa orodha koo,Positive
adriane knoppix ilitengenezwa adriane knopper aliyeharibika macho,Positive
adui anapokaribia punda milia humshambulia adui nyuma kupiga teke kumngata adui,Negative
adui wake mkuu mzunguambaye alikuja kuharibu ustaarabu huu wa mwafrika,Positive
adui wa atakayebatilishwa mauti,Negative
afande sele alifiwa mkewe asha mama tunda mnamo agosti,Positive
afande sele sasa ana video wimbo wake soma ule imeongozwa mtayarishaji raph tz upcoming video director aliyepewa heshima msanii kufanya video hiyo imekidhi maudhui wimbo,Positive
afc inachukuliwa timu hatari afrika mashariki kati kusini sababu mechi nyingi ambazo imecheza barani utawala wake michuano klabu cecafa kuongezea wachezaji wake wazuri,Positive
afichae ugonjwa ndio hufa,Negative
afika kusini ingeweza kufika fainaliwa miaka miwili baadaye nchini burkina faso lakini hawakuweza kutetea taji lao kwani iliweza kunyakuwa ushindi nne,Positive
afisa mkuu mtendaji wa chuo kikuu makamu wa chancela vc,Positive
afisa mkuu wa shirika hili ndiye mkurugenzi mkuu,Negative
afisa mwandamizi wa zamani marekani agency for international development usaid williams alikuwa kujitolea peace corps jamhuri dominika,Positive
af nyingi hutibiwa dawa kupunguza mapigo moyo hadi kiwango cha karibu kawaida yaani udhibiti viwango kugeuza mapigo hadi mapigo kawaida sinasi yaani udhibiti mapigo,Positive
african beat ilianzishwa mwaka baada mafumu bilali bombenga kujiengua bendi african stars nayo ilianzishwa mnamo mwaka kwenye hoteli bahari beach jijini dar es salaam huku yeye akiwa ndiye muanzilishi,Positive
african broadcasting services ilitangaza programu lugha kiswahili dholuo kikuyu kinandi kiluhya kikamba kiarabu,Positive
africanhiphopcom sasa inafanyakazi moja kati chombo chanzo kikuu cha taarifa kuhusu muziki wa hip hop wa afrika,Positive
afrika ina makabila mengi hayawezi kuhesabika vikundi vya kikabila vya kijamii,Negative
afrika kusini haikutambua badiliko hilo ikitangaza kwamba hali udhamini ilikuwa afrika kusinimagharibi tangu kuvunjwa shirikisho la mataifa,Negative
afrika kusini ina mchanganyiko mkubwa wa watu,Positive
afrika kusini walishiriki kombe la dunia la miaka lakini walishindwa kufuzu makundi zote mbili,Positive
afrika angani,Positive
afrika magharibi,Positive
afrika mashariki walikuwa hasa wamisionari uganda waliofanya mapema maandalizi mapadri wachungaji waafrika,Positive
afrika rahisi sana ugaidi kusambaza sababu watu ajira fursa hawana nafasi nyingine,Negative
afrika kusini ilitaka kuanzisha kibali maalum ajili wazimbabwe lakini sera hiyo bado inaendelea kuangaliwa,Positive
afrika mashariki alitembelea mwenyewe akakusanya habari watu wake waliotwa zanj,Positive
afya duni ukosefu wa elimu nafuu huathiri vibaya uzalishaji,Negative
afya inashirikisha ustawi wa kimwili akili kijamii,Positive
afya eisenstein ilipungua matata haya yote akapata pigo la moyo akafa alipokuwa umri wa miaka akazikwa kwenye makaburi monasteri novodevichy mjini moscow,Negative
afya jamii sayansi sanaa kuzuia magonjwa kurefusha maisha kusaidia afya watu kupitia bidii ushirikiano uchaguzi bora wa jamii jumuia umma mtu binafsi,Positive
afya ilikuwa hafifu muda wote akafa mjini paris sababu ugonjwa wa kifua kikuu mwaka akiwa umri wa miaka pekee,Negative
afyuni hulimwa hasa ajili biashara haramu afyuni heroini,Negative
